rec,rep,D,D_ends,D_theory,R,R_theory,R_theory2,H,kernelpixelVar,r_PixVar_rgb,g_PixVar_rgb,b_PixVar_rgb,y_PixVar_ycrcb,gray_PixVar_grayscale,h_PixVar_hsv,l_PixVar_lab,l_PixVar_luv,x_PixVar_xyz,y_PixVar_yuv,cr_PixVar_ycrcb,s_PixVar_hsv,a_PixVar_lab,u_PixVar_luv,y_PixVar_xyz,u_PixVar_yuv,cb_PixVar_ycrcb,v_PixVar_hsv,b_PixVar_lab,v_PixVar_luv,z_PixVar_xyz,v_PixVar_yuv,D_sfm,R_sfm,H_sfm
Reef_29_2019_10_31_SFM_3_06_DEM,14,2.042528079,1.999833834,1.999833834,1.064853279,1.007164242,1.017378178,0.339368626,6095.847169,1319.059501,1552.796905,1637.581737,10.1210552,1478.988586,1596.02299,11.02332717,20.68519412,1917.585131,19.45585183,12.93296252,853.6176567,6.244714521,7.703665925,1498.53778,7.894052303,1479.002344,35.11927787,1631.474453,1630.273374,1309.8288,1479.002344,2.670238576,3.145548387,0.406950414
Reef_29_2019_10_31_SFM_3_06_DEM,15,2.05961881,2.025329501,2.025329501,1.042613932,1.004441403,1.011786782,0.244442684,6015.974953,1376.112504,1570.090592,1620.270908,7.548421902,1507.231896,1604.266049,8.27123489,16.70068385,1904.424531,15.10635077,10.07506184,683.9289101,5.548142255,6.11148494,1523.801658,6.031374381,1507.231896,21.65610917,1625.399003,1624.370702,1338.856118,1507.231896,2.714916854,2.782493375,0.329576612
Reef_29_2019_10_31_SFM_3_06_DEM,16,1.973157259,1.932124496,1.932124496,1.038884219,1.002000861,1.006115355,0.226489674,4748.692128,1078.478827,1221.311461,1251.615384,5.746277895,1174.680234,1248.943578,6.392478915,13.74837497,1472.56311,9.652841104,6.572908611,513.3569037,4.481067325,4.238919382,1187.252796,4.563978826,1174.680234,12.26345033,1271.114673,1270.360152,1044.133137,1174.680234,2.655594093,2.320838774,0.301966131
Reef_42_2021_08_18_SFM_4_04_DEM,1,2.067740204,2.042907829,2.042907829,1.120814972,1.007486625,1.027943475,0.298835129,6817.209504,2380.654543,2836.883973,3007.663293,18.03081754,2690.397832,2787.803747,16.73850613,28.26097588,3512.87082,46.70041964,30.95912704,716.0479139,12.21155446,15.40742612,2729.740065,13.35894629,2690.402443,390.3876671,2796.178381,2792.521142,2378.434069,2690.402443,2.336081475,2.395183249,0.800343007
Reef_42_2021_08_18_SFM_4_04_DEM,2,2.083291978,2.03629354,2.03629354,1.200588529,1.009544527,1.046615756,0.345417072,7147.344937,2615.003675,3170.709236,3347.98247,14.42169982,2998.554707,3170.771078,13.76978834,23.47074788,3912.881004,41.93367545,27.75951188,658.1118907,12.47596679,14.53434608,3045.013126,10.6775415,2998.581343,450.2857403,3183.362597,3179.20591,2646.47718,2998.581343,2.398295969,2.433748339,0.721824527
Reef_42_2021_08_18_SFM_4_04_DEM,3,1.904188803,1.871638877,1.871638877,1.062767557,1.003464539,1.015523397,0.367672614,6540.261838,1965.668658,2356.320481,2450.572073,9.999170646,2229.853566,2382.061717,8.938157904,18.12244247,2869.702578,33.2711889,22.09121491,557.7137043,9.879282435,10.99703651,2264.036476,7.696206905,2229.854138,201.7669897,2352.145185,2348.529618,1968.18912,2229.854138,2.349637255,2.233200529,0.611588299
Reef_42_2021_08_18_SFM_4_04_DEM,4,1.978344103,1.980722857,1.980722857,1.087261615,1.005353248,1.024675067,0.313302682,6646.656888,1920.491615,2213.161736,2314.811683,18.52066126,2106.859248,2231.287057,16.93826225,32.12629678,2710.618298,47.5421359,31.56302371,768.7173758,11.62761072,14.96878226,2135.008241,14.31990713,2106.863202,176.4100365,2207.226995,2204.652178,1866.405014,2106.863202,2.321397909,2.048130402,0.601967722
Reef_42_2021_08_18_SFM_4_04_DEM,5,2.157499229,2.114566575,2.114566575,1.168402857,1.010226987,1.038397015,0.272647498,6953.215522,2340.923578,3067.509042,3325.711576,20.33513764,2843.195813,2957.163831,20.57042,28.89000033,3874.862944,58.17726334,38.5324271,672.149292,16.80289044,20.82970795,2903.675638,14.66171052,2843.215791,560.7696408,2988.086217,2984.985201,2488.193699,2843.215791,2.380634238,2.229048665,0.626544058
Reef_42_2021_08_18_SFM_4_04_DEM,6,2.030706213,1.99984985,1.99984985,1.161760375,1.010093458,1.04004073,0.403087285,7070.684836,2462.076619,3097.095129,3208.548562,16.68897674,2891.51133,3040.843491,17.06930657,30.34926462,3757.046035,43.44017827,28.77758988,514.6954355,14.89539404,15.56013511,2948.155549,12.37525741,2891.527956,475.5853784,3053.783058,3050.754705,2535.452584,2891.527956,2.430911422,2.612509364,0.639937699
Reef_42_2021_08_18_SFM_4_04_DEM,7,1.875912613,1.812929096,1.812929096,1.164019933,1.010866033,1.044574972,0.79954304,6700.557415,2084.815011,2596.856177,2826.150096,18.16070692,2441.990736,2627.070306,17.92910802,32.27310253,3288.057868,42.65589879,28.24638768,533.4482114,12.96245436,14.63155544,2483.135487,13.59061496,2442.002239,412.7516828,2563.027575,2559.820687,2151.843951,2442.002239,2.303034229,2.338802842,0.884514362
Reef_42_2021_08_18_SFM_4_04_DEM,8,1.980554195,1.942511016,1.942511016,1.34201189,1.020688202,1.098687379,0.705806363,6690.580174,2079.986658,2661.349908,2637.390121,37.78724401,2448.853855,2456.80798,44.59986468,79.12116874,3093.690912,39.2675054,26.04986025,761.0319659,21.29945699,15.55792037,2508.677329,27.89835696,2448.843575,347.084531,2567.159255,2564.504335,2130.715254,2448.843575,2.230447515,2.196857772,1.177272528
Reef_42_2021_08_18_SFM_4_04_DEM,9,2.135024644,2.102713673,2.102713673,1.156791698,1.008018831,1.035267559,0.251411383,7270.925759,2640.023087,2971.547942,3095.507781,10.1244387,2872.162104,2925.236136,10.47363238,17.29713237,3637.092256,21.52302772,14.14651192,710.2533516,7.589206901,7.562959295,2899.419986,7.20503799,2872.15545,500.0822251,3027.731955,3024.03195,2558.981964,2872.15545,2.43394493,2.312167332,0.549515665
Reef_42_2021_08_18_SFM_4_04_DEM,10,2.123031959,2.09110006,2.09110006,1.295396424,1.014615802,1.068970732,0.353942877,7047.516009,2665.19552,3123.919206,3216.908638,9.078414965,2978.157337,3043.050312,9.218676075,14.73075562,3783.135601,30.34367507,20.13816952,894.9449466,11.83172286,10.98613229,3018.259898,6.218582383,2978.162523,477.8776789,3177.188783,3172.97043,2636.922255,2978.162523,2.404483679,2.396209362,0.695269942
Reef_42_2021_08_18_SFM_4_04_DEM,11,1.900720088,1.87455627,1.87455627,1.138334787,1.007304541,1.036010397,0.529004942,7378.478349,2725.779822,3355.733155,3702.045458,21.11366759,3175.585291,3303.589416,22.134959,32.49634751,4305.651575,47.55449529,31.40238662,1215.570971,14.57459109,15.87986441,3223.301106,15.60023372,3175.601637,632.6743861,3377.637346,3372.388349,2807.316594,3175.601637,2.299468097,2.74861152,0.906300634
Reef_42_2021_08_18_SFM_4_04_DEM,12,1.869552827,1.820794135,1.820794135,1.174595374,1.007141104,1.043297814,0.630156385,7795.751458,2674.055889,3924.277303,4876.54642,62.71545066,3581.398437,3768.086939,72.67947154,86.6397694,5579.704187,115.7960521,76.58968457,1749.632675,28.53415055,40.57836477,3669.726821,46.4824395,3581.397666,1367.557278,3915.732126,3912.153819,3123.068701,3581.397666,2.212846641,2.467085086,1.243884712
